Date,Sampling Start,Time Point,Condition,Replicate,Sample Identifier,Extraction Set,Extraction Number,Extract Storage Number,Extraction Date ,Extract Storage Box Name,Extract Storage Box Number,Archive Storage Box,Extract Storage Location,Archive Storage Location
23-Jan-26,NA,NA,LW-1000,B,LW-1000-B,MMS-11,4,3217,1-Feb-26,Shedding/Decay,3,3A,8G,8G
23-Jan-26,NA,NA,LW-10000,A,LW-10000-A,MMS-11,5,3218,1-Feb-26,Shedding/Decay,3,3A,9G,9G
23-Jan-26,NA,NA,L-10,B,L-10-B,MMS-11,6,3219,1-Feb-26,Shedding/Decay,3,3A,1H,1H
23-Jan-26,NA,NA,LW,FB,LW-FB,MMS-11,7,3220,1-Feb-26,Shedding/Decay,3,3A,2H,2H
23-Jan-26,NA,NA,L-1,C,L-1-C,MMS-11,8,3221,1-Feb-26,Shedding/Decay,3,3A,3H,3H
23-Jan-26,NA,NA,LW-10,A,LW-10-A,MMS-11,9,3222,1-Feb-26,Shedding/Decay,3,3A,4H,4H
23-Jan-26,NA,NA,LW-100,C,LW-100-C,MMS-11,10,3223,1-Feb-26,Shedding/Decay,3,3A,5H,5H
23-Jan-26,NA,NA,L-1,B,L-1-B,MMS-11,11,3224,1-Feb-26,Shedding/Decay,3,3A,6H,6H
23-Jan-26,NA,NA,LW-100,B,LW-100-B,MMS-11,12,3225,1-Feb-26,Shedding/Decay,3,3A,7H,7H
23-Jan-26,NA,NA,LW-100,A,LW-100-A,MMS-11,13,3226,1-Feb-26,Shedding/Decay,3,3A,8H,8H
23-Jan-26,NA,NA,L-1,A,L-1-A,MMS-11,14,3227,1-Feb-26,Shedding/Decay,3,3A,9H,9H
23-Jan-26,NA,NA,LW-1,C,LW-1-C,MMS-11,15,3228,1-Feb-26,Shedding/Decay,3,3A,1I,1I
23-Jan-26,NA,NA,LW-1000,A,LW-1000-A,MMS-11,16,3229,1-Feb-26,Shedding/Decay,3,3A,2I,2I
23-Jan-26,NA,NA,LW-10,B,LW-10-B,MMS-11,17,3230,1-Feb-26,Shedding/Decay,3,3A,3I,3I
23-Jan-26,NA,NA,LW-1,A,LW-1-A,MMS-11,18,3231,1-Feb-26,Shedding/Decay,3,3A,4I,4I
23-Jan-26,NA,NA,LW-1000,C,LW-1000-C,MMS-11,19,3232,1-Feb-26,Shedding/Decay,3,3A,5I,5I
23-Jan-26,NA,NA,L-10,C,L-10-C,MMS-11,20,3233,1-Feb-26,Shedding/Decay,3,3A,6I,6I
23-Jan-26,NA,NA,LW-10000,B,LW-10000-B,MMS-11,21,3234,1-Feb-26,Shedding/Decay,3,3A,7I,7I
23-Jan-26,NA,NA,LW-10000,C,LW-10000-C,MMS-11,22,3235,1-Feb-26,Shedding/Decay,3,3A,8I,8I
NA,NA,NA,NA,NA,EB,MMS-11,23,3236,1-Feb-26,Shedding/Decay,3,3A,9I,9I
