Wavelength (nm),Abs,
587.9989624,0.00763242,
586.9966431,0.007444516,
585.9940796,0.007423555,
584.9912109,0.006932315,
583.9882202,0.007359835,
582.9848633,0.007532531,
582.0184937,0.00668459,
581.0145874,0.00582799,
580.010498,0.006189222,
579.0061646,0.006267687,
578.0015869,0.006418695,
576.9967041,0.005769961,
575.9915771,0.005904369,
574.9862061,0.006039055,
574.0178833,0.005770275,
573.0119629,0.005682669,
572.0058594,0.005354668,
570.9995117,0.005720804,
569.9929199,0.005100009,
568.986084,0.005188966,
568.0162354,0.005012145,
567.0089111,0.00486961,
566.0013428,0.00449663,
564.9934082,0.004713329,
563.9853516,0.004618401,
563.0143433,0.003958372,
562.0057983,0.003650361,
560.9969482,0.003717142,
559.987854,0.003979063,
559.0159302,0.003899809,
558.0063477,0.003660908,
556.996582,0.003115706,
555.9864502,0.003144099,
555.0136108,0.002697316,
554.0031128,0.002435125,
552.9923706,0.002442779,
551.9813232,0.00256887,
551.0075684,0.002010108,
549.9960938,0.001725799,
548.984314,0.001567918,
548.0098267,0.00147861,
546.9976196,0.001096307,
545.9852295,0.001350004,
545.0100098,0.000969631,
543.9971313,0.000448551,
542.9839478,0.000416265,
542.0081177,0.000300174,
540.9944458,0.0001613,
540.0181274,7.99E-05,
539.0040894,0.000170726,
537.9897461,0.000438782,
537.0127563,0.000140402,
535.9980469,0.000516136,
534.9829712,0.000352451,
534.0053101,0.000366337,
532.9898682,0.0001128,
532.0117188,0.000644184,
530.9958496,0.000530546,
530.0172729,0.000949266,
529.0008545,0.001037609,
527.9841919,0.001641031,
527.0050049,0.002148769,
525.9879761,0.002564807,
525.0083008,0.003172599,
523.9907837,0.003869328,
523.0107422,0.004153843,
521.9926758,0.00493265,
521.012146,0.006024435,
519.9937134,0.006666557,
519.0128174,0.006923478,
517.9938965,0.007544937,
517.0125732,0.008472343,
515.9931641,0.009251722,
515.0114136,0.009490518,
513.9916382,0.010297757,
513.0093994,0.010326412,
511.9891968,0.011272295,
511.0065613,0.012195511,
509.9859009,0.012380661,
509.0028687,0.012888586,
507.9816589,0.013617571,
506.9981995,0.013896464,
506.0145264,0.014496032,
504.9927673,0.015050011,
504.008667,0.015279925,
502.9864502,0.015445231,
502.0019226,0.015577918,
501.0171814,0.016174037,
499.9942932,0.016679533,
499.0091553,0.016926568,
497.9858704,0.017214624,
497.0003357,0.01717665,
496.0145874,0.017386381,
494.9906311,0.017466357,
494.0044556,0.01748991,
493.0180664,0.01761155,
491.9935608,0.017412489,
491.0067749,0.017529123,
489.98172,0.01759783,
488.9945374,0.016984977,
488.0071411,0.016879603,
486.9815369,0.017121609,
485.9937744,0.01716728,
485.0057068,0.017022906,
484.0175476,0.016632004,
482.9911194,0.016997414,
482.002533,0.017176112,
481.0137329,0.016750366,
479.9866638,0.016870884,
478.9974365,0.016662426,
478.0080566,0.016790077,
477.0184937,0.016549574,
475.9906311,0.016618019,
475.0006104,0.016980024,
474.0104675,0.017268682,
472.9819946,0.017229304,
471.9914551,0.017762592,
471.0006409,0.017958548,
470.0097046,0.01868875,
469.0185547,0.018844655,
467.9890442,0.019092275,
466.9974976,0.020032335,
466.0057983,0.020103853,
465.0138245,0.020958409,
463.9835815,0.021477396,
462.9913025,0.022312423,
461.9988098,0.022746034,
461.006134,0.023155423,
460.0132751,0.023533605,
458.9819946,0.024057515,
457.988739,0.024273632,
456.9953613,0.025124511,
456.0016785,0.025040288,
455.0079041,0.025893494,
454.0138855,0.026049396,
452.9814453,0.026211182,
451.9870911,0.026456518,
450.9925537,0.02673712,
449.9977417,0.026857277,
449.0028687,0.027051762,
448.007782,0.027403852,
447.0124817,0.027620869,
446.0170593,0.027809598,
444.9830933,0.027822154,
443.9872437,0.028202767,
442.9912109,0.028253486,
441.9950256,0.028314212,
440.9985657,0.028395452,
440.0020447,0.028213402,
439.0053406,0.028544098,
438.0084229,0.028166886,
437.0112915,0.028305039,
436.0140381,0.028383596,
435.0166016,0.028134793,
434.0189209,0.027930161,
432.9827881,0.027758986,
431.9848022,0.028225502,
430.9866333,0.028547332,
429.9882507,0.028569145,
428.9898071,0.028070724,
427.9910583,0.028315758,
426.9921875,0.028180752,
425.9931641,0.028234396,
424.9939575,0.028205669,
423.9945374,0.028336372,
422.9949951,0.028282633,
421.9952393,0.028266443,
420.9954224,0.028413609,
419.9953308,0.028291086,
418.9950256,0.02840808,
417.9946289,0.028417477,
416.9940186,0.028451886,
415.9932861,0.02872883,
414.9923706,0.028603649,
413.9912415,0.028914416,
412.9900208,0.028412336,
411.9886169,0.028653391,
410.9869385,0.028356599,
409.985199,0.028737016,
408.9833069,0.028292771,
407.9811707,0.028448237,
407.0174866,0.028487403,
406.0150452,0.028291363,
405.0124207,0.028230723,
404.0096741,0.028069535,
403.0068054,0.028008016,
402.0037231,0.027672872,
401.0004272,0.027906338,
399.9970093,0.027830683,
398.9934692,0.027699688,
397.9896851,0.027633118,
396.9858093,0.027512884,
395.9817505,0.027941756,
395.0161438,0.027197056,
394.0118103,0.027391499,
393.0072327,0.027586196,
392.002533,0.027234178,
390.9976807,0.027257303,
389.9926453,0.027911223,
388.9874878,0.027793314,
387.9821472,0.027802201,
387.0153198,0.02810201,
386.0096741,0.028244784,
385.0038757,0.028272411,
383.9979553,0.028535252,
382.9918213,0.02855007,
381.9855347,0.028769985,
381.0178223,0.029612958,
380.011261,0.029962666,
379.0045166,0.030506695,
377.9976501,0.030734634,
376.9906006,0.030845368,
375.9833984,0.03150402,
375.0148315,0.031979457,
374.0073242,0.032501467,
372.9996948,0.033128221,
371.9918823,0.033625994,
370.9839172,0.03451772,
370.0145874,0.035057135,
369.0063477,0.035752006,
367.9979553,0.036185183,
366.9894104,0.036741208,
365.9807129,0.036905028,
365.0106506,0.037557278,
364.001709,0.038244486,
362.9925537,0.038262974,
361.9833069,0.038695354,
361.0126953,0.039015047,
360.0031128,0.039746463,
358.9933777,0.039601818,
357.9835205,0.040049613,
357.0123596,0.040246576,
356.0021973,0.040725455,
354.9919128,0.041057087,
353.9814453,0.041293051,
353.0097656,0.041623775,
351.999054,0.041623976,
350.9881592,0.041887727,
350.0160522,0.042184472,
349.0049133,0.042329557,
347.9936218,0.042512652,
346.9821777,0.042392738,
346.0095215,0.042457044,
344.9978333,0.042845279,
343.9859619,0.043066982,
343.0129089,0.043197032,
342.0007935,0.04318757,
340.9885254,0.043371972,
340.0150757,0.043744337,
339.0025635,0.043839164,
337.9898682,0.04396667,
337.0160217,0.044068281,
336.0030823,0.044441901,
334.9900208,0.044298634,
334.0157776,0.044506136,
333.0024109,0.04502371,
331.9889526,0.044745389,
331.0143127,0.045503262,
330.0005493,0.045131397,
328.9866943,0.045505416,
328.0116882,0.045678731,
326.9975586,0.045592036,
325.9832764,0.046153277,
325.0078735,0.045768261,
323.9933167,0.046170205,
323.0177002,0.04655705,
322.0028992,0.047134746,
320.9879761,0.047233637,
320.0119629,0.047132872,
318.9967651,0.047904693,
317.9814758,0.048099179,
317.0050964,0.048304833,
315.9895325,0.048463114,
315.0129089,0.049083959,
313.9970703,0.049090624,
312.9811401,0.04975399,
312.0041199,0.05006633,
310.9879761,0.05023589,
310.0107117,0.050513186,
308.9942627,0.05110345,
308.0168152,0.051206775,
307.0000916,0.051581986,
305.9832764,0.052196827,
305.0054626,0.052497867,
303.9884033,0.052811079,
303.0103149,0.052786376,
301.993042,0.053085927,
301.0147705,0.0533618,
299.9972229,0.053811535,
299.0186768,0.05403313,
298.0009155,0.053875063,
296.9830017,0.054224283,
296.0041504,0.054602019,
294.9860229,0.054630876,
294.0069275,0.055244114,
292.9885254,0.055547129,
292.0092163,0.055883005,
290.9906006,0.055885743,
290.0110474,0.056498751,
288.992218,0.056685798,
288.0124817,0.057164975,
286.9933777,0.057660349,
286.0133972,0.058033071,
284.9940796,0.058212582,
284.013916,0.059169564,
282.9943542,0.059011512,
282.013916,0.05972648,
280.9942017,0.059851073,
280.0135498,0.060209502,
278.9935608,0.060933448,
278.0126953,0.061277006,
276.9924927,0.061655473,
276.0114441,0.062464774,
274.9910278,0.062677912,
274.0097351,0.063156538,
272.9890747,0.063695602,
272.0075989,0.063900828,
270.9867554,0.064644568,
270.0050659,0.065775625,
268.9839478,0.065946013,
268.0020447,0.067071863,
266.9808044,0.066828564,
265.9986877,0.067489736,
265.016449,0.068386368,
263.994873,0.068623841,
263.0124207,0.06905362,
261.9906006,0.070448183,
261.0079956,0.070830368,
259.9859619,0.07152421,
259.0031433,0.071764991,
257.9809265,0.072795376,
256.9979248,0.073832728,
256.014801,0.074726671,
254.9922485,0.076119214,
254.0089417,0.077050403,
252.9862061,0.077352107,
252.0026855,0.078721702,
251.019104,0.081140786,
249.9960632,0.082443118,
249.0122528,0.083444722,
247.9890137,0.084045209,
247.0050354,0.085381657,
245.9816132,0.087417066,
244.9974213,0.089288175,
244.0131683,0.090675965,
242.9894409,0.091970779,
242.0049744,0.092932455,
240.9810638,0.095184706,
