Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),pg/µL,Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Copies/uL linked molecules,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-
M14,3168 1_10,,,,1,35.381763458252,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,39.4667510986328,31.000036239624,37.507640838623,33.2594718933105,38433,1066,37367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G03, G04",37.3932685852051,33.0735168457031,36.4659461975098,34.2985153198242,,,,,,,,,,,,,False,0,0,0,0
M15,3036 1_5,,,,1,535.119873046875,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,544.947143554688,525.368713378906,544.947143554688,525.368713378906,33633,11654,21979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H01, H02",540.124145507813,530.135314941406,540.124145507813,530.135314941406,,,,,,,,,,,,,False,0,0,0,0
M16,gBlock,,,,1,6.16820573806763,,,,DQ,PosCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,7.4909143447876,5.01193475723267,7.4909143447876,5.01193475723267,19625,96,19529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H03,6.81801128387451,5.56128787994385,6.81801128387451,5.56128787994385,,,,,,,,,,,,,False,0,0,0,0
M17,NTC,,,,1,0,,,,DQ,NTC,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,0.207650944590569,0,0.207650944590569,0,18150,0,18150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H04,0.0948802977800369,0,0.0948802977800369,0,,,,,,,,,,,,,False,0,0,0,0
A01,3008,,,,1,1157.791015625,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,23155.8203125,,,1182.91345214844,1133.16040039063,14839,8928,5911,,,,,,,,,1630.92272949219,,,8.95379482034927,16.9312807962025,,,,,,,,,,,,7830.35402092882,565.045115809537,4936.27484186284,,,,,1170.54577636719,1145.1640625,,,,,,,,,,,,,No,0,0,0,0
A02,3008,,,,1,1232.84045410156,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,24656.80859375,,,1260.62365722656,1205.65771484375,13401,8372,5029,,,,,,,,,1630.92272949219,,,7.41999112077247,16.3744052593784,,,,,,,,,,,,7704.71215834893,564.067218239679,5025.03874563276,,,,,1246.93884277344,1218.89831542969,,,,,,,,,,,,,No,0,0,0,0
A03,3165 1_5,,,,1,225.095260620117,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,4501.9052734375,,,233.421310424805,216.823974609375,17296,2834,14462,,,,,,,,,1630.92272949219,,,11.7931664298585,30.4169780168584,,,,,,,,,,,,8067.51590286718,557.649630439346,1788.16310269076,,,,,229.336364746094,220.868423461914,,,,,,,,,,,,,No,0,0,0,0
A04,3165 1_5,,,,1,229.411209106445,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,4588.22412109375,,,238.008148193359,220.872634887695,16567,2762,13805,,,,,,,,,1630.92272949219,,,11.5146959968986,31.9266563510915,,,,,,,,,,,,8000.80465231971,551.633279798066,1793.53654115527,,,,,233.790069580078,225.047546386719,,,,,,,,,,,,,No,0,0,0,0
B01,3014,,,,1,1170.42199707031,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,23408.439453125,,,1193.64465332031,1147.62036132813,17631,10678,6953,,,,,,,,,1630.92272949219,,,10.2767447471489,19.3217497652544,,,,,,,,,,,,7897.78764371556,561.748953567037,5004.73126503014,,,,,1182.21667480469,1158.73681640625,,,,,,,,,,,,,No,0,0,0,0
B02,3014,,,,1,1183.09106445313,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,23661.8203125,,,1207.03479003906,1159.5947265625,16872,10285,6587,,,,,,,,,1630.92272949219,,,9.54100089088472,21.2024812143752,,,,,,,,,,,,7807.56538493036,555.819245575447,4976.41010873721,,,,,1195.25024414063,1171.04833984375,,,,,,,,,,,,,No,0,0,0,0
