Scan Averages	32
Integration Time	5.000000
X Unit	Wavelength [nm]
X Max	1350.000000
X Min	150.000000
Y Unit	Irradiance [uW/cm^2/nm]
Y Max	54.000000
Y Min	0.000000
Cal Flag	1
SN	1101048U1
177.000000	0.000000
178.000000	0.000000
179.000000	0.000000
180.000000	0.000000
181.000000	0.000000
182.000000	0.000000
183.000000	0.000000
184.000000	0.000000
185.000000	0.000000
186.000000	0.000000
187.000000	0.000000
188.000000	0.000000
189.000000	0.000000
190.000000	0.000000
191.000000	0.000000
192.000000	0.000000
193.000000	0.000000
194.000000	0.000000
195.000000	0.000000
196.000000	0.000000
197.000000	0.000000
198.000000	0.000000
199.000000	0.000000
200.000000	0.000000
201.000000	0.000000
202.000000	0.000000
203.000000	0.000000
204.000000	0.000000
205.000000	0.000000
206.000000	0.000000
207.000000	0.000000
208.000000	0.000000
209.000000	0.000000
210.000000	0.000000
211.000000	0.000000
212.000000	0.000000
213.000000	0.000000
214.000000	0.000000
215.000000	0.000000
216.000000	0.000000
217.000000	0.000000
218.000000	0.000000
219.000000	0.000000
220.000000	0.000000
221.000000	0.000000
222.000000	0.000000
223.000000	0.000000
224.000000	0.000000
225.000000	0.000000
226.000000	0.000000
227.000000	0.000000
228.000000	0.000000
229.000000	0.000000
230.000000	0.000000
231.000000	0.000000
232.000000	0.000000
233.000000	0.000000
234.000000	0.000000
235.000000	0.000000
236.000000	0.000000
237.000000	0.000000
238.000000	0.000000
239.000000	0.000000
240.000000	0.000000
241.000000	0.000000
242.000000	0.000000
243.000000	0.000000
244.000000	0.000000
245.000000	0.000000
246.000000	0.000000
247.000000	0.000000
248.000000	0.000000
249.000000	0.000000
250.000000	0.000000
251.000000	0.000000
252.000000	0.032372
253.000000	0.039797
254.000000	0.038558
255.000000	0.000000
256.000000	0.000000
257.000000	0.000000
258.000000	0.027279
259.000000	0.001123
260.000000	0.000000
261.000000	0.000000
262.000000	0.038792
263.000000	0.035784
264.000000	0.011326
265.000000	0.097140
266.000000	0.012362
267.000000	0.054249
268.000000	0.005046
269.000000	0.073859
270.000000	0.084405
271.000000	0.004683
272.000000	0.059994
273.000000	0.000000
274.000000	0.056229
275.000000	0.121986
276.000000	0.025070
277.000000	0.066756
278.000000	0.000000
279.000000	0.146403
280.000000	0.000000
281.000000	0.003457
282.000000	0.073932
283.000000	0.081781
284.000000	0.006689
285.000000	0.087834
286.000000	0.000000
287.000000	0.000000
288.000000	0.000000
289.000000	0.221612
290.000000	0.119608
291.000000	0.009480
292.000000	0.018595
293.000000	0.000000
294.000000	0.073308
295.000000	0.000000
296.000000	0.000000
297.000000	0.031212
298.000000	0.000000
299.000000	0.061405
300.000000	0.011808
301.000000	0.058885
302.000000	0.031356
303.000000	0.516924
304.000000	0.000000
305.000000	0.263543
306.000000	0.017243
307.000000	0.329977
308.000000	0.000000
309.000000	0.000000
310.000000	0.000000
311.000000	0.000000
312.000000	0.133881
313.000000	0.006234
314.000000	0.000000
315.000000	0.063453
316.000000	0.003798
317.000000	0.000000
318.000000	0.118296
319.000000	0.000000
320.000000	0.000000
321.000000	0.038782
322.000000	0.042850
323.000000	0.182317
324.000000	0.057796
325.000000	0.065111
326.000000	0.051262
327.000000	0.000000
328.000000	0.107099
329.000000	0.004322
330.000000	0.074974
331.000000	0.000000
332.000000	0.144435
333.000000	0.000000
334.000000	0.050058
335.000000	0.218704
336.000000	0.268620
337.000000	0.019539
338.000000	0.031611
339.000000	0.026419
340.000000	0.143073
341.000000	0.190927
342.000000	0.246771
343.000000	0.000000
344.000000	0.028218
345.000000	0.115525
346.000000	0.042960
347.000000	0.000000
348.000000	0.182587
349.000000	0.037317
350.000000	0.172027
351.000000	0.365476
352.000000	0.084360
353.000000	0.000000
354.000000	0.064636
355.000000	0.032663
356.000000	0.243973
357.000000	0.000000
358.000000	0.440196
359.000000	0.000000
360.000000	0.130283
361.000000	0.000000
362.000000	0.000000
363.000000	0.073191
364.000000	0.254659
365.000000	0.007601
366.000000	0.072969
367.000000	0.262372
368.000000	0.008471
369.000000	0.293128
370.000000	0.286657
371.000000	0.156713
372.000000	0.024562
373.000000	0.104539
374.000000	0.078939
375.000000	0.053289
376.000000	0.000000
377.000000	0.058648
378.000000	0.174432
379.000000	0.048320
380.000000	0.104093
381.000000	0.063796
382.000000	0.000000
383.000000	0.298898
384.000000	0.078900
385.000000	0.000000
386.000000	0.037533
387.000000	0.063239
388.000000	0.648601
389.000000	0.037445
390.000000	0.387847
391.000000	0.065152
392.000000	0.027979
393.000000	0.003498
394.000000	0.000000
395.000000	0.000000
396.000000	0.000000
397.000000	0.043706
398.000000	0.194890
399.000000	0.157030
400.000000	0.069276
401.000000	0.106030
402.000000	0.000000
403.000000	0.113585
404.000000	0.195534
405.000000	0.000000
406.000000	0.057438
407.000000	0.119386
408.000000	0.029541
409.000000	0.045927
410.000000	0.044979
411.000000	0.000000
412.000000	0.009582
413.000000	0.091625
414.000000	0.152756
415.000000	0.000000
416.000000	0.086544
417.000000	0.054356
418.000000	0.075022
419.000000	0.052307
420.000000	0.032692
421.000000	0.000000
422.000000	0.000000
423.000000	0.044312
424.000000	0.000000
425.000000	0.119636
426.000000	0.107098
427.000000	0.000000
428.000000	0.000000
429.000000	0.000000
430.000000	0.000000
431.000000	0.135077
432.000000	0.107826
433.000000	0.054745
434.000000	0.039681
435.000000	0.140677
436.000000	0.094194
437.000000	0.002884
438.000000	0.000000
439.000000	0.000000
440.000000	0.068562
441.000000	0.118306
442.000000	0.084951
443.000000	0.006689
444.000000	0.023835
445.000000	0.000000
446.000000	0.000000
447.000000	0.000000
448.000000	0.000000
449.000000	0.030830
450.000000	0.000000
451.000000	0.057003
452.000000	0.000000
453.000000	0.000000
454.000000	0.000000
455.000000	0.000000
456.000000	0.000000
457.000000	0.000000
458.000000	0.004321
459.000000	0.000000
460.000000	0.000000
461.000000	0.000000
462.000000	0.030540
463.000000	0.139153
464.000000	0.027347
465.000000	0.130877
466.000000	0.001288
467.000000	0.000439
