Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),pg/µL,Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Copies/uL linked molecules,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-
M01,3099,,,,1,1051.16333007813,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,1123.20446777344,983.465270996094,1066.49035644531,1036.02087402344,34215,19380,14835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A01, A02",1088.98266601563,1017.68713378906,1058.9599609375,1043.41479492188,,,,,,,,,,,,,False,0,0,0,0
M02,3107,,,,1,1184.34875488281,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,1211.14233398438,1158.17077636719,1201.05163574219,1167.86486816406,34529,21062,13467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A03, A04",1198.16967773438,1171.14343261719,1192.84289550781,1175.91162109375,,,,,,,,,,,,,False,0,0,0,0
M03,3115,,,,1,86.1498413085938,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,94.7312927246094,77.625846862793,89.1611328125,83.1457443237305,47631,3153,44478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A05, A06",90.5422058105469,81.8149337768555,87.6853179931641,84.6162414550781,,,,,,,,,,,,,False,0,0,0,0
M04,3100,,,,1,279.265106201172,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,285.915985107422,272.649200439453,285.915985107422,272.649200439453,34340,6837,27503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B01, B02",282.654022216797,275.885314941406,282.654022216797,275.885314941406,,,,,,,,,,,,,False,0,0,0,0
M05,3018,,,,1,1217.44775390625,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,1240.99194335938,1192.32446289063,1234.43237304688,1200.68933105469,34860,21617,13243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B03, B04",1229.07336425781,1204.24304199219,1226.08471679688,1208.86962890625,,,,,,,,,,,,,False,0,0,0,0
M06,3116,,,,1,907.692810058594,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,926.995056152344,888.549621582031,921.428100585938,894.10595703125,34453,17710,16743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B05, B06",917.579833984375,897.96484375,914.681884765625,900.742370605469,,,,,,,,,,,,,False,0,0,0,0
M07,3101,,,,1,92.5018920898438,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,103.513229370117,74.6709518432617,97.2782211303711,87.7436218261719,20409,1447,18962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C01, C02",96.4498138427734,81.7343673706055,94.9365234375,90.0719528198242,,,,,,,,,,,,,False,0,0,0,0
M08,3109,,,,1,145.906982421875,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,150.081008911133,141.746765136719,150.081008911133,141.746765136719,43051,4715,38336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C03, C04",148.034866333008,143.782699584961,148.034866333008,143.782699584961,,,,,,,,,,,,,False,0,0,0,0
M09,3117,,,,1,1084.56176757813,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,1126.48327636719,1041.32397460938,1100.22485351563,1069.09130859375,34328,19834,14494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C05, C06",1105.6279296875,1062.17932128906,1092.52868652344,1076.64489746094,,,,,,,,,,,,,False,0,0,0,0
M10,3102,,,,1,64.5842819213867,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,67.6188583374023,61.563549041748,67.3440246582031,61.8305816650391,42139,2109,40030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D01, D02",66.1359252929688,63.0464820861816,65.9915542602539,63.1785774230957,,,,,,,,,,,,,False,0,0,0,0
M11,3110,,,,1,0,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,0.107087031006813,0,0.107087031006813,0,35193,0,35193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D03, D04",0.0489314906299114,0,0.0489314906299114,0,,,,,,,,,,,,,False,0,0,0,0
