Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),pg/µL,Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Copies/uL linked molecules,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-
M01,3030,,,,1,297.712890625,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,304.284790039063,291.175170898438,304.284790039063,291.175170898438,37778,7962,29816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A01, A02",301.061614990234,294.373077392578,301.061614990234,294.373077392578,,,,,,,,,,,,,False,0,0,0,0
M02,3038,,,,1,211.107543945313,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,240.042510986328,183.150604248047,216.119445800781,206.115493774414,44394,6859,37535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A03, A04",226.109802246094,197.083312988281,213.662139892578,208.55810546875,,,,,,,,,,,,,False,0,0,0,0
M03,3046,,,,1,1735.1318359375,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,1758.71533203125,1711.98205566406,1758.71533203125,1711.98205566406,33100,24768,8332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A05, A06",1747.10900878906,1723.267578125,1747.10900878906,1723.267578125,,,,,,,,,,,,,False,0,0,0,0
M04,3031,,,,1,883.286437988281,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,900.419616699219,866.482360839844,896.505554199219,870.204833984375,35791,18057,17734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B01, B02",892.108459472656,874.793518066406,890.013549804688,876.59521484375,,,,,,,,,,,,,False,0,0,0,0
M05,3039,,,,1,1065.94580078125,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,1149.09057617188,1006.13519287109,1082.94909667969,1049.16918945313,28419,16241,12178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B03, B04",1114.0810546875,1041.14465332031,1074.59228515625,1057.35827636719,,,,,,,,,,,,,False,0,0,0,0
M06,3047,,,,1,1665.35729980469,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,1687.47692871094,1643.61999511719,1687.47692871094,1643.61999511719,34873,25594,9279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B05, B06",1676.59423828125,1654.21984863281,1676.59423828125,1654.21984863281,,,,,,,,,,,,,False,0,0,0,0
M07,3032,,,,1,1052.62219238281,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,1092.01403808594,1011.00183105469,1067.21960449219,1038.19226074219,37776,21416,16360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C01, C02",1072.17431640625,1030.84155273438,1060.04858398438,1045.2392578125,,,,,,,,,,,,,False,0,0,0,0
M08,3040,,,,1,1101.65258789063,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,1123.83190917969,1084.27453613281,1118.57360839844,1084.95617675781,30140,17586,12554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C03, C04",1114.14440917969,1093.10632324219,1110.25732421875,1093.10632324219,,,,,,,,,,,,,False,0,0,0,0
M09,3048,,,,1,1198.72204589844,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,1235.99230957031,1162.33239746094,1215.11511230469,1182.53991699219,36513,22434,14079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C05, C06",1217.953125,1180.37158203125,1207.05908203125,1190.43981933594,,,,,,,,,,,,,False,0,0,0,0
M10,3033,,,,1,842.496398925781,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,896.818481445313,792.513488769531,855.326782226563,829.795654296875,35579,17369,18210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D01, D02",871.2744140625,818.057556152344,849.026184082031,836.000427246094,,,,,,,,,,,,,False,0,0,0,0
