Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),pg/µL,Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Copies/uL linked molecules,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-
M01,3007,,,,1,69.7539672851563,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,72.7160110473633,66.7988891601563,72.7160110473633,66.7988891601563,39596,2136,37460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A01, A02",71.2643432617188,68.2454071044922,71.2643432617188,68.2454071044922,,,,,,,,,,,,,False,0,0,0,0
M02,3015,,,,1,0,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,0.0996932163834572,0,0.0996932163834572,0,37803,0,37803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A03, A04",0.045553095638752,0,0.045553095638752,0,,,,,,,,,,,,,False,0,0,0,0
M03,3023,,,,1,59.9985504150391,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,67.7519760131836,52.991813659668,62.5962333679199,57.4062194824219,44097,2054,42043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A05, A06",64.1372451782227,56.6065483093262,61.3232307434082,58.6752662658691,,,,,,,,,,,,,False,0,0,0,0
M04,3008,,,,1,1189.49157714844,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,1205.85473632813,1173.33874511719,1205.85473632813,1173.33874511719,36210,22145,14065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B01, B02",1197.81359863281,1181.22448730469,1197.81359863281,1181.22448730469,,,,,,,,,,,,,False,0,0,0,0
M05,3016,,,,1,1015.76928710938,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,1030.29943847656,1001.40509033203,1030.29943847656,1001.40509033203,36183,20047,16136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B03, B04",1023.16162109375,1008.42016601563,1023.16162109375,1008.42016601563,,,,,,,,,,,,,False,0,0,0,0
M06,3024,,,,1,141.143844604492,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,145.513656616211,136.789154052734,145.513656616211,136.789154052734,37930,4026,33904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B05, B06",143.371429443359,138.920181274414,143.371429443359,138.920181274414,,,,,,,,,,,,,False,0,0,0,0
M07,3009,,,,1,893.760925292969,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,1014.90356445313,774.616882324219,907.145568847656,880.517028808594,35494,18053,17441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C01, C02",956.057861328125,833.462585449219,900.572021484375,886.986450195313,,,,,,,,,,,,,False,0,0,0,0
M08,3017,,,,1,855.454895019531,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,911.312072753906,804.424926757813,868.573425292969,842.471801757813,34763,17153,17610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C03, C04",885.135620117188,830.601379394531,862.130920410156,848.814147949219,,,,,,,,,,,,,False,0,0,0,0
M09,3025,,,,1,0,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,0.106844142079353,0,0.106844142079353,0,35273,0,35273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C05, C06",0.0488205105066299,0,0.0488205105066299,0,,,,,,,,,,,,,False,0,0,0,0
M10,3010,,,,1,0,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,0.0939191579818726,0,0.0939191579818726,0,40127,0,40127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D01, D02",0.0429147928953171,0,0.0429147928953171,0,,,,,,,,,,,,,False,0,0,0,0
